file_name,wmo_id,station_name,status
D96147_202501180000.bufr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501181200.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501181200.bufr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501200000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501200000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501201200.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501201200.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501210000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501210000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501211200.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501211200.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501220000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501220000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501221200.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501221200.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501230000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501230000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501231200.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501231200.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501240000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501240000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501241200.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501241200.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501250000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501250000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501251200.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501251200.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501260000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501260000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501261200.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501261200.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501270000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501270000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501271200.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501271200.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501280000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501280000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501281200.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501281200.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501290000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501290000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501291200.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501291200.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501300000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501300000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501301200.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501301200.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501310000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202501310000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502010000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502010000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502011200.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502011200.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502020000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502020000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502021200.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502021200.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502030000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502030000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502040000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502040000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502050000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502050000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502060000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502060000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502070000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502070000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502080000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502080000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502090000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502090000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502100000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502100000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502110000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502110000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502120000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502120000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502130000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502130000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502140000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502140000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502150000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502150000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502160000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502160000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502170000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502170000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502180000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502180000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502190000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502190000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502200000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502200000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502210000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502210000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502220000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502220000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502240000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502240000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502250000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502250000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502260000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502260000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502270000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502270000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502280000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202502280000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202503010000.bfh,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
D96147_202503010000.bfr,96147,WION_Stasiun Meteorologi Maritim Natuna,Dikenali
